Date,Recovered
2021-01-20,488781
2021-01-21,493611
2021-01-22,495235
2021-01-23,499009
2021-01-24,502186
2021-01-25,510857
2021-01-26,514020
2021-01-27,519657
2021-01-28,523182
2021-01-29,526414
2021-01-30,532417
2021-01-31,538316
2021-02-01,545007
2021-02-02,546941
2021-02-03,552734
2021-02-04,557870
2021-02-05,561844
2021-02-06,564682
2021-02-07,567647
2021-02-08,569111
2021-02-09,574448
2021-02-10,577183
2021-02-11,579252
2021-02-12,581126
2021-02-13,582842
2021-02-14,584399
2021-02-15,586824
2021-02-16,588437
2021-02-17,589987
2021-02-18,592610
2021-02-19,594054
2021-02-20,595355
2021-02-21,596302
2021-02-22,598053
2021-02-23,600013
2021-02-24,601671
2021-02-25,603742
2021-02-26,605413
2021-02-27,607106
2021-02-28,608311
2021-03-01,609363
2021-03-02,610445
2021-03-03,611301
2021-03-04,612177
2021-03-05,613001
2021-03-06,614010
2021-03-07,615663
2021-03-08,616541
2021-03-09,617288
2021-03-10,618076
2021-03-11,618846
2021-03-12,619616
2021-03-13,620666
2021-03-14,621264
2021-03-15,622064
2021-03-16,622836
2021-03-17,623532
2021-03-18,624320
2021-03-19,625365
2021-03-20,626326
2021-03-21,628544
2021-03-22,629549
2021-03-23,630733
2021-03-24,632244
2021-03-25,633612
2021-03-26,634918
2021-03-27,635785
2021-03-28,637045
2021-03-29,637825
2021-03-30,638585
2021-03-31,639467
2021-04-01,640446
2021-04-02,641246
2021-04-03,642944
2021-04-04,644185
2021-04-05,645331
2021-04-06,646929
2021-04-07,648426
2021-04-08,650159
2021-04-09,652085
2021-04-10,654500
2021-04-11,655489
2021-04-12,657345
2021-04-13,658779
2021-04-14,660204
2021-04-15,661879
2021-04-16,663224
2021-04-17,666810
2021-04-18,668909
2021-04-19,671618
2021-04-20,674642
2021-04-21,677346
2021-04-22,680094
2021-04-23,683408
2021-04-24,687969
2021-04-25,691696
2021-04-26,695411
2021-04-27,699688
2021-04-28,703988
2021-04-29,708484
2021-04-30,714049
2021-05-01,718479
2021-05-02,721385
2021-05-03,726509
2021-05-04,730926
2021-05-05,735420
2021-05-06,739716
2021-05-07,743488
2021-05-08,749430
2021-05-09,752991
2021-05-10,757322
2021-05-11,761075
2021-05-12,764104
2021-05-13,769756
2021-05-14,774279
2021-05-15,778171
2021-05-16,781514
2021-05-17,786749
2021-05-18,792774
2021-05-19,792899
2021-05-20,801738
2021-05-21,808047
2021-05-22,813809
2021-05-23,819230
2021-05-24,825855
2021-05-25,832054
2021-05-26,837881
2021-05-27,844916
2021-05-28,850848
2021-05-29,858641
2021-05-30,863273
2021-05-31,863952
2021-06-01,875936
2021-06-02,883174
2021-06-03,891563
2021-06-04,901590
2021-06-05,909997
2021-06-06,915791
2021-06-07,928983
2021-06-08,938345
2021-06-09,947030
2021-06-10,956077
2021-06-11,964280
2021-06-12,972072
2021-06-13,977663
2021-06-14,977712
2021-06-15,1000753
2021-06-16,1009621
2021-06-17,1027739
2021-06-18,1027809
2021-06-19,1039704
2021-06-20,1046337
2021-06-21,1052638
2021-06-22,1062511
2021-06-23,1070922
2021-06-24,1081341
2021-06-25,1096977
2021-06-26,1106316
2021-06-27,1113677
2021-06-28,1119863
2021-06-29,1130275
2021-06-30,1140936
2021-07-01,1153864
2021-07-02,1164752
2021-07-03,1174469
2021-07-04,1184310
2021-07-05,1194577
2021-07-06,1199841
2021-07-07,1217558
2021-07-08,1227548
2021-07-09,1233721
2021-07-10,1247575
2021-07-11,1256926
2021-07-12,1263730
2021-07-13,1269564
2021-07-14,1275152
2021-07-15,1281717
2021-07-16,1288699
2021-07-17,1294553
2021-07-18,1302051
2021-07-19,1307269
2021-07-20,1311261
2021-07-21,1312286
2021-07-22,1317287
2021-07-23,1324401
2021-07-24,1327333
2021-07-25,1328294
2021-07-26,1332952
